iter	Passed	Remaining
700	8752	3733
701	8764	3720
702	8772	3706
703	8784	3693
704	8793	3679
705	8806	3667
706	8819	3655
707	8831	3642
708	8845	3630
709	8856	3617
710	8868	3604
711	8878	3591
712	8891	3578
713	8900	3565
714	8913	3552
715	8925	3540
716	8937	3527
717	8946	3513
718	8960	3501
719	8969	3488
720	8982	3475
721	8991	3462
722	9004	3450
723	9014	3436
724	9027	3424
725	9039	3411
726	9048	3397
727	9061	3385
728	9073	3372
729	9086	3360
730	9096	3347
731	9108	3334
732	9120	3322
733	9132	3309
734	9142	3296
735	9152	3283
736	9161	3269
737	9173	3256
738	9181	3242
739	9190	3228
740	9198	3215
741	9208	3201
742	9217	3188
743	9227	3174
744	9238	3162
745	9250	3149
746	9260	3136
747	9273	3124
748	9285	3111
749	9294	3098
750	9307	3085
751	9316	3072
752	9328	3060
753	9341	3047
754	9354	3035
755	9363	3021
756	9375	3009
757	9391	2998
758	9406	2986
759	9422	2975
760	9437	2964
761	9452	2952
762	9468	2941
763	9483	2929
764	9498	2917
765	9523	2909
766	9536	2896
767	9548	2884
768	9565	2873
769	9580	2861
770	9591	2848
771	9608	2837
772	9621	2825
773	9633	2812
774	9645	2800
775	9658	2788
776	9671	2775
777	9684	2763
778	9696	2750
779	9708	2738
780	9721	2725
781	9733	2713
782	9746	2701
783	9758	2688
784	9770	2675
785	9782	2663
786	9795	2651
787	9809	2639
788	9821	2626
789	9833	2614
790	9843	2600
791	9853	2587
792	9868	2575
793	9881	2563
794	9890	2550
795	9900	2537
796	9915	2525
797	9924	2512
798	9938	2500
799	9951	2487
800	9962	2475
801	9974	2462
802	9988	2450
803	10002	2438
804	10017	2426
805	10032	2414
806	10047	2402
807	10060	2390
808	10072	2378
809	10085	2365
810	10099	2353
811	10112	2341
812	10122	2328
813	10134	2315
814	10143	2302
815	10156	2290
816	10168	2277
817	10178	2264
818	10191	2252
819	10205	2240
820	10215	2227
821	10227	2214
822	10235	2201
823	10249	2189
824	10265	2177
825	10279	2165
826	10289	2152
827	10300	2139
828	10311	2126
829	10321	2114
830	10332	2101
831	10346	2089
832	10362	2077
833	10370	2064
834	10383	2051
835	10392	2038
836	10405	2026
837	10414	2013
838	10423	2000
839	10435	1987
840	10450	1975
841	10458	1962
842	10467	1949
843	10476	1936
844	10485	1923
845	10493	1910
846	10501	1897
847	10512	1884
848	10525	1872
849	10537	1859
850	10549	1847
851	10561	1834
852	10574	1822
853	10587	1810
854	10599	1797
855	10611	1785
856	10619	1772
857	10632	1759
858	10640	1746
859	10653	1734
860	10661	1721
861	10673	1708
862	10681	1695
863	10689	1682
864	10697	1669
865	10710	1657
866	10719	1644
867	10732	1632
868	10740	1619
869	10748	1606
870	10757	1593
871	10769	1580
872	10778	1568
873	10787	1555
874	10799	1542
875	10811	1530
876	10823	1518
877	10835	1505
878	10848	1493
879	10856	1480
880	10869	1468
881	10881	1455
882	10889	1442
883	10902	1430
884	10911	1417
885	10923	1405
886	10931	1392
887	10944	1380
888	10956	1367
889	10964	1355
890	10973	1342
891	10981	1329
892	10994	1317
893	11002	1304
894	11014	1292
895	11026	1279
896	11035	1267
897	11043	1254
898	11053	1241
899	11062	1229
900	11071	1216
901	11080	1203
902	11088	1191
903	11097	1178
904	11106	1165
905	11115	1153
906	11123	1140
907	11136	1128
908	11144	1115
909	11153	1103
910	11161	1090
911	11169	1077
912	11180	1065
913	11189	1052
914	11201	1040
915	11209	1027
916	11222	1015
917	11234	1003
918	11244	991
919	11253	978
920	11265	966
921	11273	953
922	11282	941
923	11295	929
924	11308	916
925	11316	904
926	11328	892
927	11336	879
928	11344	867
929	11353	854
930	11366	842
931	11378	830
932	11386	817
933	11394	805
934	11402	792
935	11411	780
936	11423	768
937	11433	755
938	11442	743
939	11450	730
940	11458	718
941	11466	706
942	11479	693
943	11491	681
944	11501	669
945	11513	657
946	11521	644
947	11534	632
948	11546	620
949	11559	608
950	11571	596
951	11583	584
952	11595	571
953	11607	559
954	11615	547
955	11629	535
956	11641	523
957	11649	510
958	11659	498
959	11667	486
960	11679	473
961	11687	461
962	11700	449
963	11709	437
964	11717	424
965	11729	412
966	11737	400
967	11750	388
968	11758	376
969	11772	364
970	11781	351
971	11793	339
972	11801	327
973	11814	315
974	11822	303
975	11836	291
976	11844	278
977	11852	266
978	11865	254
979	11872	242
980	11885	230
981	11896	218
982	11911	206
983	11922	193
984	11932	181
985	11947	169
986	11955	157
987	11964	145
988	11973	133
989	11981	121
990	11989	108
991	11998	96
992	12006	84
993	12019	72
994	12032	60
995	12041	48
996	12050	36
997	12058	24
998	12066	12
999	12075	0
