iter	Accuracy	MultiClass
377	0.5663375942	1.880369199
378	0.5664231911	1.87979833
379	0.5665373202	1.879223672
380	0.5666514494	1.878809508
381	0.5666799817	1.878386873
382	0.5667370463	1.877764512
383	0.5668511755	1.877191414
384	0.5669653047	1.876724198
385	0.5673362246	1.87617562
386	0.5675074184	1.875578894
387	0.5675359507	1.875215553
388	0.5675074184	1.874939815
389	0.5675930153	1.874442729
390	0.5676500799	1.873889915
391	0.5678212737	1.873328854
392	0.5678783383	1.872885712
393	0.5679639352	1.872566061
394	0.5679639352	1.872034201
395	0.5680495321	1.871516385
396	0.568135129	1.871140338
397	0.5681636613	1.870712576
398	0.5683633874	1.87003003
399	0.5685916457	1.869563037
400	0.5687343072	1.869046446
401	0.5689340333	1.868525286
402	0.5689625656	1.868337485
403	0.5688769687	1.868039568
404	0.5689340333	1.867512166
405	0.5690196302	1.867174683
406	0.5689625656	1.866847119
407	0.5689910979	1.866514428
408	0.5689625656	1.86572678
409	0.5689625656	1.865027627
410	0.5689910979	1.864712212
411	0.5692193563	1.863839079
412	0.5693905501	1.863254501
413	0.5694190824	1.862831309
414	0.5695617439	1.862298
415	0.5695332116	1.862101841
416	0.5695046793	1.861554043
417	0.5696473408	1.861033663
418	0.5697044054	1.860789912
419	0.56976147	1.860310882
420	0.5698185346	1.859779133
421	0.5699611961	1.859258976
422	0.5700753253	1.858835673
423	0.5700753253	1.858530288
424	0.5702179868	1.858131393
425	0.5702179868	1.857637093
426	0.5702465191	1.857050509
427	0.5703035837	1.856885891
428	0.5702750514	1.856266986
429	0.5703035837	1.855604167
430	0.5703035837	1.855248405
431	0.5703035837	1.854630502
432	0.5703035837	1.854389092
433	0.5703606483	1.853885542
434	0.5704462451	1.853297732
435	0.570531842	1.852899394
436	0.5705603743	1.852558901
437	0.570531842	1.852206149
438	0.5706459712	1.851943005
439	0.5709027619	1.8512414
440	0.5710454234	1.850277209
441	0.5713307464	1.849614613
442	0.5713022141	1.849470391
443	0.5713307464	1.849221291
444	0.5713307464	1.848543538
445	0.5715304725	1.847892645
446	0.571387811	1.847362902
447	0.5715875371	1.847004911
448	0.5716160694	1.846720703
449	0.571673134	1.846215815
450	0.5716446017	1.846002603
451	0.5715590048	1.845676042
452	0.5717016663	1.845208937
453	0.5717301986	1.844983465
454	0.5717587309	1.844474787
455	0.5718728601	1.844201724
456	0.5719013924	1.843805058
457	0.5720440539	1.843480615
458	0.5721011185	1.842953325
459	0.5721867154	1.842750032
460	0.5723008446	1.842499929
461	0.57224378	1.841996044
462	0.5723008446	1.841691551
463	0.5723008446	1.841244842
464	0.5724149738	1.840763471
465	0.5724149738	1.840391325
466	0.5725005706	1.840038684
467	0.5725005706	1.839858239
468	0.572728829	1.839372075
469	0.572728829	1.839046406
470	0.5727858936	1.838647845
471	0.5727858936	1.838287179
472	0.5729000228	1.837916705
473	0.5729570874	1.837621463
474	0.5729856197	1.837240624
475	0.5730426843	1.836666634
476	0.5731282812	1.836333497
477	0.5731568135	1.835719941
478	0.5731853458	1.835376996
479	0.5731853458	1.834859737
480	0.5731853458	1.834506538
481	0.5733280073	1.83420929
482	0.5733565396	1.8338338
483	0.5735277334	1.833345408
484	0.573584798	1.833028877
485	0.5736989272	1.83244508
486	0.573870121	1.832202109
487	0.573870121	1.831863177
488	0.5739557179	1.831581755
489	0.5740983794	1.831323069
490	0.5740983794	1.831197349
491	0.5744978315	1.830714418
492	0.5746690253	1.830329566
493	0.574640493	1.829850758
494	0.5747260899	1.829475603
495	0.5747831545	1.829133327
496	0.5748116868	1.828605145
497	0.5748402191	1.828216504
498	0.574925816	1.82794333
499	0.5749828806	1.827570181
500	0.5751255421	1.827259112
501	0.5750970098	1.826833022
502	0.5752396713	1.826565643
503	0.5752396713	1.826133981
504	0.5752396713	1.825779779
505	0.575496462	1.825250928
506	0.5755535266	1.82476521
507	0.5755249943	1.824627564
508	0.575496462	1.824084225
509	0.5756105912	1.823856969
510	0.5758103173	1.823366459
511	0.575781785	1.822849423
512	0.5759244465	1.822425896
513	0.5759529788	1.822113044
514	0.5759244465	1.821733208
515	0.5760100434	1.821292072
516	0.5760100434	1.820730677
517	0.5760100434	1.820424177
518	0.576067108	1.82004579
519	0.5758959142	1.819843723
520	0.5759529788	1.819505905
521	0.5760385757	1.819268396
522	0.5764380278	1.818803632
523	0.5764950924	1.818435833
524	0.5766092216	1.818179711
525	0.5766948185	1.817986895
526	0.5767233508	1.817779033
527	0.5767233508	1.817466738
528	0.5765806893	1.817203928
529	0.5769230769	1.816662372
530	0.5769801415	1.816293347
531	0.5770372061	1.815933795
532	0.5770942707	1.815566888
533	0.5771513353	1.81530419
534	0.577122803	1.814915437
535	0.5771798676	1.814435961
536	0.5772939968	1.814088001
537	0.5772654645	1.813735471
538	0.5772654645	1.813380043
539	0.5774651906	1.812695937
540	0.577408126	1.812334936
541	0.5775222552	1.812095867
